Date,Name,Distance,City
2020-12-28,The Drop Huddersfield,30.0 mi • 15.0 mi • 10.0 mi,Huddersfield
2021-01-09,The Drop York – Winter Special,15.0 mi • 10.0 mi,York
2021-02-06,Hamsterley Forest 10K & Half Marathon - February,26.2 mi • 13.1 mi • 6.2 mi,"Hamster, Redford"
2021-04-04,Discover Run the Wild,13.1 mi,Tring
2021-05-24,Berghaus Dragon’s Back,195.7 mi,Conwy
2023-09-17,Lancaster Marathon,26.1 mi,Lancaster
2109-03-03,Berkhamsted Half Marathon & Fun Run,13.1 mi • 5.0 mi,Berkhamsted
2109-03-03,Ron Hill Accrington 10k & 1 Mile Fun Run,6.2 mi,Accrington
2020-11-29,The I Can Run Ipswich Winter Runderland 5K,3.1 mi • 1.6 mi,Ipswich
2020-12-05,Spartan Stadion - Twickenham Stadium,3.1 mi • 1.2 mi • 0.6 mi,Twickenham
2020-12-05,"Nottingham Christmas Marathon, Half, 5K & 1 Mile Fun Run",26.2 mi • 13.1 mi • 6.2 mi • 3.1 mi • 1.0 mi,Nottingham
2020-12-05,Battersea Park 5k & 10k - December,6.2 mi • 3.1 mi,London
2020-12-05,Run Richmond Park 5k and 10k Race 14,6.2 mi • 3.1 mi,Richmond
2020-12-05,Salisbury Plain Marathon/Half Marathon,26.2 mi • 13.1 mi,Shipton Bellinger
2020-12-05,Maverick Adidas Terrex Original - Oxfordshire,13.7 mi • 6.8 mi • 5.0 mi,Stonor
2020-12-06,RunThrough Goodwood Motor Circuit Grand Prix - December,26.2 mi • 20.0 mi • 13.1 mi • 6.2 mi • 3.1 mi,Chichester
2020-12-06,Running Grand Prix Oulton Park – December,26.2 mi • 20.0 mi • 16.0 mi • 13.0 mi • 6.2 mi • 3.1 mi,Tarporley
2020-12-06,Southampton Common 10k,6.2 mi,Southampton
2020-12-06,PieAthlon - Yorkshire,3.7 mi,Huddersfield
2020-12-06,Rayne'deer Run,26.2 mi,Rayne
2020-12-06,Vale of Clwyd Half Marathon,13.1 mi,Llandyrnog
2020-12-09,Chase The Moon Olympic Park – December,6.2 mi • 3.1 mi,London
2020-12-12,Olympic Park 5k & 10k - December,6.2 mi • 3.1 mi,London
2020-12-12,Grizzly Bear 10K,6.2 mi,London
2020-12-12,Festive Forest Challenge,20.0 mi • 13.1 mi • 6.2 mi,Bury Saint Edmunds
2020-12-13,Milton Keynes Winter Half Marathon,13.1 mi,Milton Keynes
2020-12-13,"Draycote Water, Santa Dash 10K and 5 Mile - December",6.2 mi • 5.0 mi,Kites Hardwick
2020-12-13,"Run Aintree 5K, 10K & Half - December",13.1 mi • 6.2 mi • 3.1 mi,Liverpool
2020-12-19,Sheffield Santa Ho Ho Glow! Fun Run/Walk,6.2 mi • 3.1 mi,Sheffield
2020-12-19,RunThrough Lee Valley VeloPark – December,13.1 mi • 10.0 mi • 6.2 mi • 3.1 mi • 1.0 mi,London
2020-12-20,"Bolton Bauble 5k, 10k, and Fun Run",6.2 mi • 3.1 mi • 1.0 mi,Bolton
2020-12-22,Clwydian Midweek Series - Moel Gyw,4.0 mi,Ruthin
2020-11-14,Tollymore Trail Marathon Events,40.0 mi • 26.2 mi • 13.1 mi • 6.2 mi,Newcastle
2020-11-14,Golden Leaf 10K,6.2 mi,London
2020-11-14,Maverick Adidas Terrex Original - Hampshire,13.7 mi • 8.1 mi • 4.3 mi,Liphook
2020-11-14,Jack the Ripper Running Tour - Walk/Run,6.2 mi,London
2020-11-15,Blackburn 10K - November,6.2 mi • 1.0 mi,Blackburn
2020-11-15,St Neots Half Marathon,13.1 mi • 1.9 mi,Eynesbury
2020-11-15,Coventry 10k,6.2 mi,Coventry
2020-11-15,The Regent's Park 10k,6.2 mi • 2.0 mi • 0.5 mi,London
2020-11-15,The Coalville 10k,6.2 mi • 0.6 mi,Coalville
2020-11-15,Richmond Park Half Marathon - November,13.1 mi,Richmond
2020-11-15,Conwy Half Marathon,13.1 mi • 1.0 mi,Conwy
2020-11-21,The Wendover Woods Autumn Festival of Running,10.0 mi • 6.2 mi • 5.0 mi • 3.1 mi • 1.9 mi • 0.6 mi,Aylesbury
2020-11-21,Jack the Ripper Running Tour - Steady (10k in 10 - 12 minute miles),6.2 mi,London
2020-11-22,Hertfordshire Half Marathon,13.1 mi,Stevenage
2020-11-22,"Strathclyde Loch Marathon, Half & Fun Run",26.2 mi • 13.1 mi • 1.0 mi,Bellshill
2020-11-22,Beddington Park 10K,6.2 mi,Wallington
2020-11-22,Beyond S.A.D,6.2 mi • 3.1 mi,London
2020-11-24,Clwydian Midweek Series - Moel Plas YW,4.0 mi,Denbigh
2020-11-28,The Sherwood Pines Half Marathon & 10K,13.1 mi • 6.2 mi,Edwinstowe
2020-11-28,RunThrough Lee Valley VeloPark – November,13.1 mi • 10.0 mi • 6.2 mi • 3.1 mi • 1.0 mi,London
2020-11-28,Jack the Ripper Running Tour - Speedy (10K at 10 min/mile pace),6.2 mi,London
2020-11-29,"Kempton Park 5K, 10K & Half Marathon - November",13.1 mi • 6.2 mi • 3.1 mi,Sunbury-on-Thames
2020-11-29,The Bushy Christmas 10K & 5K,6.2 mi • 3.1 mi,Molesey
2020-11-29,Lancing Seafront 10K,6.2 mi,Lancing
2020-10-31,Time2Trick or Treat 5K,3.1 mi,Bolton
2020-10-31,Craft Beer of the East End Running Tour - Pace 1 (sub 11 minute miles),5.0 mi,London
2020-11-01,Queen Elizabeth Olympic Park Half Marathon,,London
2020-11-01,"Run Heaton 5k, 10k & Half Marathon – November",13.1 mi • 6.2 mi • 3.1 mi,Manchester
2020-11-01,Reading Rivermead 10k,6.2 mi,Reading
2020-11-01,Grand Union Canal Half Marathon – November,13.1 mi,Uxbridge
2020-11-01,The M & S Electrical Beckley 10K,6.2 mi • 2.0 mi • 0.3 mi,Beckley
2020-11-01,Run For Halloween 5km – Reading,3.1 mi,Reading
2020-11-02,Halloween Fun Run Castle Eden,6.2 mi,Peterlee
2020-11-05,Draycote Water November - 10k & 10 Mile,10.0 mi • 6.2 mi,Kites Hardwick
2020-11-06,White Rose Ultra,150.0 mi • 100.0 mi • 60.0 mi • 30.0 mi,Huddersfield
2020-11-07,Thames Meander Marathon & Half – Winter,26.2 mi • 13.1 mi,Kingston upon Thames
2020-11-07,QE Olympic Park 10K – November,6.2 mi,London
2020-11-07,Dambuster 10,10.0 mi,Bamford
2020-11-07,The Bedgebury Autumn 10K & 5K Canicross Challenge,6.2 mi • 3.1 mi,Goudhurst
2020-11-07,Brewery Trail Run 10K,6.2 mi,Tring Station
2020-11-07,Jack the Ripper Running Tour - Steady (10k in 10 - 12 minute miles),6.2 mi,London
2020-11-07,Poppy Half Marathon,62.1 mi • 13.1 mi • 6.2 mi • 3.1 mi,Bexhill-on-Sea
2020-11-08,The Bedgebury Forest Half Marathon & 10K,13.1 mi • 6.2 mi,Goudhurst
2020-11-08,Run Tatton Half Marathon - November,13.1 mi,Knutsford
2020-11-08,Remembrance Sunday - Marathon & 6hr Challenge,26.2 mi,Brightlingsea
2020-11-10,Richmond Park Half Marathon - November,13.0 mi,Richmond
2020-11-11,Chase the Moon Olympic Park - November,6.2 mi • 3.1 mi,London
2020-11-11,Hell of A Hill Marathon 5 Day Challenge,130.0 mi • 26.2 mi,Heath Charnock
2020-10-18,Four Season Autumn 6 Hour Challenge,4.4 mi,Bedford
2020-10-18,Asda Foundation Yorkshire Marathon,26.2 mi,York
2020-10-18,Aviemore Half Marathon & 10k,13.1 mi • 6.2 mi,Glenmore
2020-10-18,Inspire Trail Running Festival,6.2 mi,Cefn-coed-y-cymmer
2020-10-23,Jack the Ripper Running Tour - Walk/Run,6.2 mi,London
2020-10-24,Battersea Park 5K & 10K - October,6.2 mi • 3.1 mi,London
2020-10-24,Chaparral Abersoch Half Marathon,13.1 mi • 1.2 mi,Abersoch
2020-10-24,Thames Trot 50 – The Return of the Boat Race,50.0 mi,Oxford
2020-10-24,Porth Eirias 10K,6.2 mi,Colwyn Bay
2020-10-24,Abersoch Half Marathon,13.1 mi,Abersoch
2020-10-25,Age UK Leeds Abbey Dash,6.2 mi,Leeds
2020-10-25,RunThrough - Leicestershire 10K,6.2 mi,Prestwold
2020-10-25,The Cannock Chase Half Marathon & 10K,13.1 mi • 6.2 mi,Rugeley
2020-10-25,K2 Crawley 10K,6.2 mi • 0.3 mi,Crawley
2020-10-25,Ascott under Wychwood 5k & 10k,6.2 mi • 3.1 mi,Chipping Norton
2020-10-25,Shoreditch Street Art Running Tour - Steady (10 - 12 minute mile) and Speedy (Less than 10 min/mile),6.2 mi,London
2020-10-25,Rugby Half Marathon,0.6 mi,Rugby
2020-10-27,Clwydian Midweek Series - Penycloddiau,4.2 mi,Nannerch
2020-10-27,Shoreditch Street Art Running Tour - Speedy (10 minute miles or faster),6.2 mi,London
2020-10-29,Cattle Creepy 10K,6.2 mi,Wolverton
2020-10-30,Jack the Ripper Running Tour - Speedy (10K at 10 min/mile pace),6.2 mi,London
2020-10-30,Craft Beer of the East End Running Tour - Pace 2 (11-13 minute miles),5.0 mi,London
2020-10-31,Maverick Adidas Terrex Original - Wiltshire,13.7 mi • 7.5 mi • 3.7 mi,Netherhampton
2020-10-31,Runthrough Lee Valley VeloPark – October,13.1 mi • 10.0 mi • 6.2 mi • 3.1 mi • 1.0 mi,London
2020-10-11,Eden Project Marathon Half Marathon,13.1 mi,Saint Austell
2020-10-11,Eden Marathon Half Marathon,26.2 mi • 13.1 mi,Par
2020-10-11,Exeters Great West Run,13.1 mi,Exeter
2020-10-11,Autumn Breaker 10K,6.2 mi,Blackpool
2020-10-13,Grizzly Bear Challenge,,Ryton-on-Dunsmore
2020-10-14,Chase The Moon Olympic Park - October,6.2 mi • 3.1 mi,London
2020-10-14,The Secret Gin Run 10K - Speedy (sub 10mins/mile),6.2 mi,London
2020-10-16,Jack the Ripper Running Tour - Steady (10k in 10 - 12 minute miles),6.2 mi,London
2020-10-17,Great South Run,10.0 mi • 3.1 mi • 1.6 mi • 0.9 mi,Portsmouth
2020-10-17,RunThrough Hyde Park 5K & 10K - October,6.2 mi • 3.1 mi,London
2020-10-17,Maverick Adidas Terrex X & Ultra Jurassic Coast,82.0 mi • 32.9 mi • 27.3 mi • 13.0 mi • 8.7 mi,Wareham
2020-10-17,"Kings Forest Trail Ultra Marathon, Marathon & Half",31.1 mi • 26.2 mi,Bury Saint Edmunds
2020-10-18,Holme Pierrepont Half Marathon,13.1 mi,Holme Pierrepont
2020-10-18,The Yorkshire Marathon,26.2 mi,York
2020-10-18,RunThrough Bedford Autodrome Grand Prix  – October,26.2 mi • 20.0 mi • 16.0 mi • 13.1 mi • 6.2 mi • 3.1 mi,Bedford
2020-10-18,Holme Pierrepont 20,20.0 mi,Holme Pierrepont
2020-10-18,Holme Pierrepont 10k,6.2 mi,Holme Pierrepont
2020-10-18,Cheshire 10k - October,6.2 mi,Northwich
2020-10-18,The Woodchurch 10 & 5 Mile,10.0 mi • 5.0 mi • 1.0 mi,Woodchurch
2020-10-18,Beyond New Forest Trail,13.1 mi • 9.9 mi • 6.2 mi,Brockenhurst
2020-10-18,Worthing Seafront 10k,6.2 mi,Worthing
2020-10-18,Hamsterley Forest 10K & Half Marathon - October,13.1 mi • 6.2 mi,"Hamster, Redford"
2020-10-18,Holme Pierrepont 5k,3.1 mi,Holme Pierrepont
2020-10-18,Asda Foundation Yorkshire 10 Mile,10.0 mi,York
2020-10-09,Jack the Ripper Running Tour - Speedy (10K at 10 min/mile pace),6.2 mi,London
2020-10-10,Whinlatter Beast 10 & 5 Mile,10.0 mi • 5.0 mi,Keswick
2020-10-10,Tweed Valley Tunnel Trail Run,12.4 mi • 6.2 mi • 2.5 mi,Peebles
2020-10-10,Loggerheads Trail 5 & 10 Mile,10.0 mi • 5.0 mi,Mold
2020-10-10,Leicestershire Round Series Leg 3,34.8 mi,Cossington
2020-10-10,The Race with No Name Event and Challenge (Dartmoor Crossing),35.0 mi,Drewsteignton
2020-10-10,The Drop Manchester - October,15.0 mi • 10.0 mi,Manchester
2020-10-10,The Secret Gin Run 10K - Walk-run & Steady pace (10-12mins/mile),6.2 mi,London
2020-10-10,Gaelforce 10k Howth Summit,6.2 mi,Dublin
2020-10-10,Stirling Scottish Marathon,26.2 mi • 13.1 mi • 3.1 mi • 1.0 mi,Stirling
2020-10-10,Autumn 100,100.0 mi,Goring
2020-10-11,Great Birmingham Run,13.1 mi,Birmingham
2020-10-11,Royal Parks Half Marathon,13.1 mi,London
2020-10-11,Exeter’s Great West Run,13.1 mi,Exeter
2020-10-11,London Lightning 5k & 10k Run - Olympic Park,6.2 mi • 3.1 mi,London
2020-10-11,The Tonbridge Half Marathon,13.1 mi,Tonbridge
2020-10-11,Wimbledon Common Half Marathon – October,13.1 mi,London
2020-10-11,Wimbledon Half - October,13.1 mi,London
2020-10-11,"Burton Marathon, Half Marathon, 10k and 5k",26.1 mi • 13.0 mi • 6.2 mi • 3.1 mi,Litton Cheney
2020-10-11,"Draycote Water October - 10K, Half Marathon",13.1 mi • 6.2 mi,Rugby
2020-10-11,Hamsterley Beast Half Marathon & 10k,13.1 mi • 6.2 mi,"Hamster, Redford"
2020-10-11,RunThrough Tatton 10K – October,6.2 mi,Knutsford
2020-10-11,Sheffield City 10k,6.2 mi,Sheffield
2020-10-11,The Secret Gin Run 10K - Speedy (sub 10mins/mile) & Steady (10-12mins/mile),6.2 mi,London
2020-09-27,Bristol Half Marathon,13.1 mi,Bristol
2020-09-27,Robin Hood Festival Of Running,13.1 mi • 1.5 mi,Nottingham
2020-09-27,BHF Blenheim Palace Half Marathon,13.1 mi • 6.2 mi • 1.2 mi,Woodstock
2020-09-27,Spadeadam Half Marathon,13.1 mi,Gilsland
2020-09-27,Robin Hood Marathon Events,13.1 mi • 1.5 mi,Nottingham
2020-09-27,Dartford Bridge 10K,6.2 mi • 1.2 mi,Dartford
2020-09-29,Clwydian Midweek Series - Moel y Plas,4.0 mi,Graig-fechan
2020-09-29,Shoreditch Street Art Running Tour - Steady (10 - 12 minute mile),6.2 mi,London
2020-10-02,Jack the Ripper Running Tour - Steady (10k in 10 - 12 minute miles),6.2 mi,London
2020-10-03,MK Autumn Run,13.1 mi • 6.2 mi • 1.2 mi • 0.6 mi,Milton Keynes
2020-10-03,Run Richmond Park 5k and 10k Race 13,6.2 mi • 3.1 mi,Richmond
2020-10-03,QE Olympic Park 10K - October,6.2 mi,London
2020-10-03,Kielder Marathon,13.1 mi • 6.2 mi,Hexham
2020-10-04,Cardiff Half Marathon,13.1 mi,Cardiff
2020-10-04,Bank of Scotland Great Scottish Run,13.1 mi • 6.2 mi • 1.9 mi • 1.0 mi,Glasgow
2020-10-04,RunThrough Colchester Stampede Half Marathon,13.1 mi,Colchester
2020-10-04,Alcester 10K,6.2 mi • 0.6 mi,Alcester
2020-10-04,The PB Breaker Half & 16km,13.1 mi • 10.0 mi,Glastonbury
2020-10-04,Bangor 10 K And Half Marathon,13.1 mi • 6.2 mi,Bangor
2020-10-04,Clarendon Marathon And Half Marathon,26.2 mi • 13.1 mi,Winchester
2020-10-04,Great Scottish Run Half Marathon 10 K,13.1 mi • 6.2 mi,Glasgow
2020-10-04,West Coast Half Marathon,13.1 mi,Preston
2020-10-04,Dune Half Marathon,13.1 mi,Newry
2020-10-04,Baxters Loch Ness Marathon,26.2 mi • 6.2 mi • 3.1 mi,Inverness
2020-09-20,The Rutland Marathon & Half Marathon,26.2 mi • 13.1 mi,Oakham
2020-09-20,Padiham 10 K,6.2 mi,Padiham
2020-09-23,Salcey Autumn Challenge,,Northamptonshire
2020-09-24,The Leicester City 5K Summer Series – Race 4,3.1 mi,Leicester
2020-09-25,Craft Beer of the East End Running Tour - Pace 1 (sub 11 minute miles),5.0 mi,London
2020-09-26,Causeway Coast Marathon,40.0 mi • 26.2 mi • 13.1 mi • 6.2 mi,Portballintrae
2020-09-26,Windsor Women's 10k,6.2 mi,Windsor
2020-09-26,Maverick Adidas Terrex Original - Shropshire,13.0 mi • 6.2 mi • 3.1 mi,Ludlow
2020-09-26,RunThrough Lee Valley VeloPark – September,13.1 mi • 10.0 mi • 6.2 mi • 3.1 mi • 1.0 mi,London
2020-09-26,Craft Beer of the East End Running Tour - Pace 2 (11-13 minute miles),5.0 mi,London
2020-09-26,South London Street Art Running Tour - Pace 2 (11-13 minute miles),7.5 mi,London
2020-09-27,Windsor Half Marathon,13.1 mi,Windsor
2020-09-27,BHF Blenheim Palace Half Marathon,13.1 mi • 6.2 mi • 1.2 mi,Woodstock
2020-09-27,Northampton Half Marathon & Size 6,13.1 mi • 6.9 mi,Northampton
2020-09-27,RunThrough Goodwood Motor Circuit Grand Prix - September,26.1 mi • 20.0 mi • 13.0 mi • 6.2 mi • 3.1 mi,Chichester
2020-09-27,The Folkestone Rotary Half Marathon,13.1 mi,Folkestone
2020-09-27,"Run Heaton 5k, 10k & Half Marathon",13.1 mi • 6.2 mi • 3.1 mi,Manchester
2020-09-27,Urdd 5K Colour Run Rhyl,3.1 mi,Rhyl
2020-09-27,Conwy Marathon,26.2 mi • 20.0 mi • 10.0 mi,Llandudno
2020-09-27,Frinton-on-Sea Rotary Club Half Marathon and Fun Run,13.1 mi • 2.0 mi,Frinton-on-Sea
2020-09-27,Shoreditch Street Art Running Tour - Half Walk/Half Run or Steady (10 - 12 minute mile),6.2 mi,London
2020-09-27,Montane Trail 13 & Trail 10 Delamere,13.0 mi • 0.6 mi,Delamere
2020-09-27,Littleborough 10k,6.2 mi,Littleborough
2020-09-27,The Surrey Hills Challenge,37.3 mi • 26.2 mi • 26.1 mi • 13.0 mi • 6.2 mi • 3.1 mi,Woking
2020-09-13,Two Counties Half Marathon & 10K,13.1 mi • 6.2 mi,East Carlton
2020-09-13,Crystal Palace 5k 10k & Half Marathon - September,13.1 mi • 6.2 mi,London
2020-09-13,The Secret Gin Run 10K - Walk-run & Steady pace (10-12mins/mile),6.2 mi,London
2020-09-13,East Coast Classic 10K,6.2 mi,Mablethorpe
2020-09-16,The City v Wharf 5k Run Challenge,3.1 mi,London
2020-09-16,The Secret Gin Run 10K - Steady (10-12 mins/mile),6.2 mi,London
2020-09-18,Peak District Challenge,62.1 mi • 46.6 mi • 31.1 mi • 15.5 mi • 6.2 mi,Hathersage
2020-09-19,Olympic Park 5k & 10k – September,6.2 mi • 3.1 mi,London
2020-09-19,"The Purbeck Running Festival - Ultra, Marathon, 16 Mile, 10K & 5K",45.0 mi • 27.0 mi • 16.0 mi • 6.2 mi • 3.1 mi,Swanage
2020-09-19,Yarborough 24hr Track Race,,Lincoln
2020-09-19,South London Street Art Running Tour - Pace 1 (sub 11 minute miles),7.5 mi,London
2020-09-19,Chislehurst Chase,6.2 mi • 1.2 mi,Chislehurst
2020-09-20,Nationwide Building Society New Swindon Half Marathon,12.5 mi,Swindon
2020-09-20,Cheltenham Half Marathon,13.1 mi • 1.0 mi,Cheltenham
2020-09-20,Warrington Running Festival,13.1 mi • 6.2 mi • 3.1 mi • 0.6 mi,Warrington
2020-09-20,Winchester Half Marathon,13.1 mi • 1.0 mi,Winchester
2020-09-20,Southwater Seven,7.0 mi,Telford
2020-09-20,Sandown & Shanklin I.O.W Seafront 10k,6.2 mi,Sandown
2020-09-20,"Newbury Racecourse 5K, 10K and Half Marathon",13.1 mi • 6.2 mi • 3.1 mi,Newbury
2020-09-20,Llyn Alwen 11.5K & Canicross,7.1 mi,Cerrigydrudion
2020-09-20,"Run Aintree 5K, 10K & Half – September",13.1 mi • 6.2 mi • 3.1 mi,Liverpool
